Rank,City,Population,Definition,Total area (km squared),Population density (/km),Country
50,Shantou,"5,391,028",City,"2,064.42","2,611",China
51,Saint Petersburg,"5,351,000",City,"1,439","3,719",Russia
52,Harbin,"5,299,000",City(sub-provincial),614.31,"8,626",China
53,Dar es Salaam,"5,257,000",City,330.52,"15,905",Tanzania
54,Yangon,"5,214,000",Metropolitan municipality-province,598.75,"8,708",Myanmar
55,Johannesburg,"4,949,000",Metropolitan municipality,432.84,"11,434",South Africa
56,Abidjan,"4,765,000",Department/city district,"2,119","2,249",Ivory Coast
57,Alexandria,"4,616,625",Governorate,"2,300","2,007",Egypt
58,Kolkata,"4,496,694",Municipal corporation,185,"24,306",India
59,Ankara,"4,470,800",Metropolitan municipality-province,"1,910.92","2,340",Turkey
60,Surat,"4,467,797",Municipal Corporation,336,"13,297",India
61,Giza,"4,239,988",Governorate,289.08,"14,667",Egypt
62,Zhengzhou,"4,122,087",City(sub-provincial),"1,015.66","4,059",China
63,Los Angeles,"3,976,322",Municipalitycity,"1,213.85","3,276",United States
64,New Taipei City,"3,954,929",Special municipality,"2,052.57","1,927",Taiwan
65,Cape Town,"3,740,026",Metropolitan municipality,"2,444.97","1,530",South Africa
66,Yokohama,"3,726,167",Designated city,437.49,"8,517",Japan
67,Berlin,"3,671,000",City state,891.75,"4,117",Germany
68,Busan,"3,590,000",Metropolitan city,347.49,"10,331",South Korea
69,Xiamen,"3,531,347",City(sub-provincial),"1,699","2,078",China
70,Jeddah,"3,456,259",City,"1,765","1,958",Saudi Arabia
71,Durban,"3,442,361",Metropolitan municipality,"2,291.31","1,502",South Africa
72,Kabul,"3,414,100",Municipality city,275,"12,415",Afghanistan
73,Casablanca,"3,359,818",Prefecture,230,"14,608",Morocco
74,Hefei,"3,352,076",City,838.52,"3,998",China
75,Pyongyang,"3,255,388",Direct-controlled municipality,"2,113","1,541",North Korea
76,Madrid,"3,207,247",Municipality city,605.77,"5,294",Spain
77,Faisalabad,"3,203,846",City district,214,"14,971",Pakistan
78,Ekurhuleni,"3,178,470",Metropolitan municipality,"1,975.31","1,609",South Africa
79,Nairobi,"3,138,369",Capital district,694.9,"4,829",Kenya
80,Zhongshan,"3,121,275",City,"1,783.67","1,750",China
81,Pune,"3,115,431",Municipal corporation,450.69,"6,913",India
82,Addis Ababa,"3,103,673",Metropolitan municipality-province,526.99,"5,889",Ethiopia
83,Jaipur,"3,073,350",Municipal corporation,485,"6,337",India
84,Buenos Aires,"3,054,300",Federal district,203,"15,046",Argentina
85,Wenzhou,"3,039,439",City,"1,187.88","2,559",China
86,Incheon,"3,002,645",Metropolitan city,328.55,"9,139",South Korea
